ts,open,high,low,close,volume
1782703800000,1587.13,1587.86,1577.69,1584.78,3022.8156
1782705600000,1584.77,1585.05,1578.92,1582.46,2031.3922
1782707400000,1582.46,1582.77,1574.65,1575.5,2207.5414
1782709200000,1575.5,1576.42,1562.26,1570.48,5495.219
1782711000000,1570.48,1583.1,1568.94,1583.1,3059.3264
1782712800000,1583.1,1589.08,1583.07,1583.16,3594.1001
1782714600000,1583.17,1584.51,1579.81,1582.82,1835.0651
1782716400000,1582.82,1584.9,1577.92,1581.25,2659.8224
1782718200000,1581.24,1582.89,1579.84,1580.16,3279.1256
1782720000000,1580.17,1582.33,1572.24,1573.54,4130.2758
1782721800000,1573.54,1576.67,1569.85,1572.98,3021.8128
1782723600000,1572.98,1580.44,1570.49,1576.71,4668.0869
1782725400000,1576.72,1578.16,1573.39,1576.2,2960.8859
1782727200000,1576.2,1587.0,1576.2,1581.76,4846.5541
1782729000000,1581.75,1581.76,1577.46,1578.6,2823.4488
1782730800000,1578.6,1579.0,1570.32,1574.05,5244.2315
