series,cond,n,hit2,hitH,e2,med_t,med_nb,med_mae,r24_mean,delta_hitH,q
ICPUSDT-1h,uwd_ge=10,979,0.4902962206332993,0.898876404494382,0.839632277834525,2,0.0,62.60709621473251,30.180936297854977,-0.017826795856341393,0.2203
ICPUSDT-1h,trend=0,643,0.5645412130637636,0.9160186625194401,0.8818040435458787,2,0.0,70.72623770915902,-11.270104400475573,0.0058161405477167305,0.749
ICPUSDT-1h,trend=1,638,0.5971786833855799,0.932601880877743,0.8996865203761756,2,0.0,50.9534470778962,25.482090015731647,0.026423391175225852,0.121
ICPUSDT-1h,trend=2,670,0.5716417910447761,0.891044776119403,0.8477611940298507,2,0.0,45.57885141294477,-3.870856309954935,-0.025557540482913588,0.121
ICPUSDT-1h,trend=3,675,0.5555555555555556,0.9081481481481481,0.8607407407407407,2,0.0,58.72996451731316,49.1831564921445,-0.004037538505623606,0.7874
ICPUSDT-1h,trend=4,634,0.583596214511041,0.9100946372239748,0.8659305993690851,2,0.0,73.25112928824379,8.937560162901564,-0.0015580665079368838,0.9014
ICPUSDT-1h,trend_ge=1,2617,0.57661444401987,0.9102025219717234,0.8681696599159343,2,0.0,55.79518655522152,15.417727857785884,-0.0058161405477167305,0.749
ICPUSDT-1h,trend_ge=2,1979,0.5699848408287014,0.9029813036887316,0.8580090955027792,2,0.0,57.26556907659275,13.348576552923324,-0.02129660419573365,0.121
ICPUSDT-1h,trend_ge=3,1309,0.5691367456073338,0.9090909090909091,0.8632543926661573,2,0.0,66.15418730135306,32.776669683110384,-0.003774288243791113,0.7767
ICPUSDT-1h,smaal=-1,1490,0.5825503355704698,0.9181208053691275,0.8838926174496644,2,0.0,56.43208166961156,6.983000871712862,0.012471087855003282,0.3227
ICPUSDT-1h,smaal=1,1764,0.5663265306122449,0.905328798185941,0.8594104308390023,2,0.0,59.45303210463783,15.342540341554367,-0.013120399675021543,0.3008
ICPUSDT-1h,prev=-1,1608,0.595771144278607,0.9148009950248757,0.8762437810945274,1,0.0,57.37091544025974,13.854898518617151,0.006810680254899837,0.6403
ICPUSDT-1h,prev=1,1611,0.5561762880198634,0.9087523277467412,0.8659217877094972,2,0.0,57.851453729313945,17.541189014193925,-0.005134876619541373,0.749
ICPUSDT-1h,volq=0,609,0.6338259441707718,0.9359605911330049,0.9178981937602627,1,0.0,51.84231653504186,-32.28776883662125,0.030264627345754747,0.1039
ICPUSDT-1h,volq=1,644,0.6149068322981367,0.9316770186335404,0.9083850931677019,1,0.0,56.17454359410428,5.269819997546854,0.025331452884304828,0.1247
ICPUSDT-1h,volq=2,679,0.6215022091310751,0.9293078055964654,0.8895434462444771,1,0.0,49.26659948493865,44.72020216579619,0.022682466580580152,0.1607
ICPUSDT-1h,volq=3,662,0.5619335347432024,0.918429003021148,0.8670694864048338,2,0.0,59.05458346332168,52.57098825736369,0.008883198556175032,0.6365
ICPUSDT-1h,volq=4,666,0.4444444444444444,0.8438438438438438,0.7762762762762763,2,0.0,82.83024393048557,-19.390379586099787,-0.08483772901660336,0.0
ICPUSDT-1h,volq_ge=2,2007,0.5430991529646239,0.8973592426507224,0.8445440956651719,2,0.0,61.75889328063329,17.609972814242706,-0.03639973580099343,0.0033
ICPUSDT-1h,volq_ge=3,1328,0.5030120481927711,0.8810240963855421,0.8215361445783133,2,0.0,69.79822051803629,12.50275830217081,-0.05117052059168359,0.0
ICPUSDT-1h,typ=1,2523,0.5564803804994055,0.90764962346413,0.8632580261593341,2,0.0,59.094345413232126,18.41486780098511,-0.016366658761107433,0.2818
ICPUSDT-1h,typ=2,737,0.6350067842605156,0.9240162822252375,0.8968792401628223,1,0.0,55.495882563552776,20.006663760914375,0.016366658761107433,0.2818
ICPUSDT-1h,rng_q=0,776,0.6649484536082474,0.9342783505154639,0.9226804123711341,1,0.0,50.9534470778962,-23.835099981901568,0.030091555024320593,0.0703
ICPUSDT-1h,rng_q=1,722,0.6426592797783933,0.9321329639889196,0.9016620498614959,1,0.0,55.055973573133144,28.807086473350704,0.02669561174305679,0.1136
ICPUSDT-1h,rng_q=2,662,0.5770392749244713,0.9335347432024169,0.8927492447129909,2,0.0,56.86181357762801,21.19376386363331,0.02783805344106205,0.1136
ICPUSDT-1h,rng_q=3,607,0.5453047775947282,0.914332784184514,0.8583196046128501,2,0.0,62.26488519911797,6.862796123280499,0.0036656149421468998,0.7972
ICPUSDT-1h,rng_q=4,493,0.3630831643002028,0.8113590263691683,0.7302231237322515,3,0.0,93.00640507274257,5.560897413178339,-0.11780613445482879,0.0
ICPUSDT-1h,reg=1,1810,0.5740331491712707,0.918232044198895,0.8795580110497238,2,0.0,52.83392333752064,-1.7860494239704765,0.015473423509239859,0.2381
ICPUSDT-1h,reg=2,1434,0.5753138075313807,0.902370990237099,0.8591352859135286,2,0.0,69.5494731344294,29.85385006696037,-0.016029885995102577,0.2264
ICPUSDT-1h,C1_wick8_trend_up,1163,0.5657781599312124,0.9054170249355116,0.8581255374032674,2,0.0,66.09049313675598,10.294396816272723,-0.009222936914750735,
ICPUSDT-1h,C2_wick8_sma_above,1572,0.5610687022900763,0.9026717557251909,0.8562340966921119,2,0.0,60.080106809079076,18.58802133671249,-0.016759523895662154,
ICPUSDT-1h,C3_wick8_quietvol,1130,0.6141592920353982,0.9309734513274336,0.9097345132743363,2,0.0,54.55093222067789,17.1344724209681,0.030034484191283406,
ICPUSDT-1h,C6_wick910_dipbuy,748,0.5334224598930482,0.9197860962566845,0.8729946524064172,2,0.0,62.55191406379261,12.045259356340573,0.010948516638850103,
ICPUSDT-30m,uwd=7,652,0.6334355828220859,0.9202453987730062,0.8911042944785276,1,0.0,41.11259429130308,-12.989678027979313,0.013590108670617052,0.3275
ICPUSDT-30m,uwd=8,1954,0.6218014329580348,0.9176049129989765,0.8884339815762539,1,0.0,39.36545240893077,5.690189544990309,0.013699691410560488,0.1302
ICPUSDT-30m,uwd=9,1963,0.5766683647478349,0.9144167091186959,0.8807947019867549,2,0.0,40.881621045148556,10.17310533253993,0.009162807162221953,0.3275
