entry,f,cond,exit,K,cost_cfg,N,net,ci_lo,ci_hi,wr,pval
MKT,1.0,ALL,TIME,48,PB_PB,839,53.68,26.3,77.3,0.934,3.8e-05
MKT,1.0,ALL,TIME,48,PB_MKT,839,46.18,18.8,69.8,0.934,0.000392
MKT,1.0,ALL,TIME,48,MKT_MKT,839,42.68,15.3,66.3,0.934,0.001051
MKT,1.0,quiet,NOSL,0,PB_PB,335,36.63,0.2,65.1,0.958,0.026945
MKT,1.0,quiet,NOSL,0,PB_MKT,335,29.13,-7.3,57.6,0.958,0.078522
MKT,1.0,quiet,NOSL,0,MKT_MKT,335,25.63,-10.8,54.1,0.958,0.121639
MKT,1.0,quiet,TIME,12,PB_PB,335,8.84,-18.5,34.2,0.869,0.511322
MKT,1.0,quiet,TIME,12,PB_MKT,335,1.34,-26.0,26.7,0.869,0.920845
MKT,1.0,quiet,TIME,12,MKT_MKT,335,-2.16,-29.5,23.2,0.869,0.436143
MKT,1.0,quiet,TIME,24,PB_PB,335,23.22,-7.8,48.7,0.919,0.107209
MKT,1.0,quiet,TIME,24,PB_MKT,335,15.72,-15.3,41.2,0.919,0.275472
MKT,1.0,quiet,TIME,24,MKT_MKT,335,12.22,-18.8,37.7,0.919,0.396586
MKT,1.0,quiet,TIME,48,PB_PB,335,36.63,0.2,65.1,0.958,0.026945
MKT,1.0,quiet,TIME,48,PB_MKT,335,29.13,-7.3,57.6,0.958,0.078522
MKT,1.0,quiet,TIME,48,MKT_MKT,335,25.63,-10.8,54.1,0.958,0.121639
MKT,1.0,uwd78,NOSL,0,PB_PB,334,35.82,-6.2,72.0,0.94,0.072731
MKT,1.0,uwd78,NOSL,0,PB_MKT,334,28.32,-13.7,64.5,0.94,0.155974
MKT,1.0,uwd78,NOSL,0,MKT_MKT,334,24.82,-17.2,61.0,0.94,0.213726
MKT,1.0,uwd78,TIME,12,PB_PB,334,-5.1,-40.7,27.2,0.838,0.384156
MKT,1.0,uwd78,TIME,12,PB_MKT,334,-12.6,-48.2,19.7,0.838,0.233343
MKT,1.0,uwd78,TIME,12,MKT_MKT,334,-16.1,-51.7,16.2,0.838,0.176163
MKT,1.0,uwd78,TIME,24,PB_PB,334,10.18,-30.9,46.6,0.898,0.606494
MKT,1.0,uwd78,TIME,24,PB_MKT,334,2.68,-38.4,39.1,0.898,0.892184
MKT,1.0,uwd78,TIME,24,MKT_MKT,334,-0.82,-41.9,35.6,0.898,0.483418
MKT,1.0,uwd78,TIME,48,PB_PB,334,35.82,-6.2,72.0,0.94,0.072731
MKT,1.0,uwd78,TIME,48,PB_MKT,334,28.32,-13.7,64.5,0.94,0.155974
MKT,1.0,uwd78,TIME,48,MKT_MKT,334,24.82,-17.2,61.0,0.94,0.213726
MKT,1.0,uwd79,NOSL,0,PB_PB,586,34.82,4.3,62.9,0.932,0.019797
MKT,1.0,uwd79,NOSL,0,PB_MKT,586,27.32,-3.2,55.4,0.932,0.067509
MKT,1.0,uwd79,NOSL,0,MKT_MKT,586,23.82,-6.7,51.9,0.932,0.110924
